BuyAndHold,Buy-Write,Put-Write
13.5878,10.453,24.3487
10.4536,10.453,21.1362
13.5773,10.453,24.3379
55.7114,10.453,67.5254
32.8459,10.453,44.0882
9.15571,10.453,19.8058
3.41531,8.86831,12.3372
-1.49498,3.95802,2.39386
0.175645,5.62865,5.77688
8.04829,10.453,18.6707
-3.25018,2.20282,-1.16041
26.4426,10.453,37.5249
-7.42744,-1.97444,-9.61936
-18.0162,-12.5632,-31.0616
11.0374,10.453,21.7346
18.5473,10.453,29.4322
4.49645,9.94945,14.5265
7.1542,10.453,17.7543
23.9565,10.453,34.9766
-6.9617,-1.5087,-8.67624
0.297824,5.75082,6.02429
40.0566,10.453,51.4793
14.0677,10.453,24.8406
1.73253,7.18553,8.92958
16.913,10.453,27.7571
12.4002,10.453,23.1314
28.5916,10.453,39.7276
-10.5197,-5.06671,-15.8812
-3.10567,2.34733,-0.867782
9.3833,10.453,20.0391
17.3381,10.453,28.1928
15.3777,10.453,26.1833
-6.93376,-1.48076,-8.61966
6.59345,10.453,17.1795
23.214,10.453,34.2156
33.0555,10.453,44.3031
3.06097,8.51397,11.6197
35.6436,10.453,46.9559
18.9007,10.453,29.7944
20.2187,10.453,31.1453
28.2485,10.453,39.3759
3.91941,9.37241,13.358
-19.0706,-13.6176,-33.1969
31.9056,10.453,43.1244
6.18219,10.453,16.7579
32.7941,10.453,44.0352
36.9156,10.453,48.2597
11.6267,10.453,22.3386
1.70059,7.15359,8.8649
33.9602,10.453,45.2304
11.2911,10.453,21.9945
3.56995,9.02295,12.6504
23.3948,10.453,34.4008
-0.256676,5.19632,4.90143
6.74807,10.453,17.338
-20.6676,-15.2146,-36.4307
4.6532,10.1062,14.8439
-9.27528,-3.82228,-13.3612
24.2288,10.453,35.2557
8.80792,10.453,19.4493
-6.17552,-0.722523,-7.08424
29.2792,10.453,40.4323
8.63269,10.453,19.2697
15.5257,10.453,26.335
-0.832533,4.62047,3.73532
-8.82355,-3.37055,-12.4465
8.18669,10.453,18.8126
35.6229,10.453,46.9346
0.836903,6.2899,7.11593
23.4618,10.453,34.4695
-3.96017,1.49283,-2.59814
17.4565,10.453,28.3141
-14.429,-8.97599,-23.7975
3.49607,8.94907,12.5007
-8.35859,-2.90559,-11.5049
2.16223,7.61523,9.79973
16.2306,10.453,27.0576
34.7602,10.453,46.0504
14.4778,10.453,25.261
16.6876,10.453,27.526
11.1706,10.453,21.8711
10.0448,10.453,20.7172
-11.887,-6.43398,-18.6499
-13.5665,-8.11355,-22.0511
27.0378,10.453,38.135
27.4537,10.453,38.5612
-10.285,-4.83202,-15.406
25.4759,10.453,36.534
-19.0033,-13.5503,-33.0604
12.4977,10.453,23.2313
15.3642,10.453,26.1695
14.3785,10.453,25.1592
-5.81392,-0.360919,-6.35199
8.30348,10.453,18.9323
-0.714108,4.73889,3.97513
0.387769,5.84077,6.20643
-8.85294,-3.39994,-12.506
-8.5017,-3.0487,-11.7947
-4.95471,0.498293,-4.61208
-10.9316,-5.47863,-16.7154
24.1549,10.453,35.1799
-19.5936,-14.1406,-34.2559
14.3411,10.453,25.1208
16.3472,10.453,27.1771
-3.34266,2.11034,-1.34769
-10.1142,-4.66116,-15.06
-10.7728,-5.31975,-16.3936
-2.92417,2.52883,-0.500251
19.147,10.453,30.0468
13.4509,10.453,24.2084
-16.7541,-11.3011,-28.5058
-25.2184,-19.7654,-45.646
-19.736,-14.283,-34.5443
24.8964,10.453,35.94
14.5301,10.453,25.3145
1.25417,6.70717,7.96089
7.44901,10.453,18.0564
13.0727,10.453,23.8207
9.20382,10.453,19.8551
6.0464,10.453,16.6188
-7.96155,-2.50855,-10.7009
16.3989,10.453,27.23
-2.05324,3.39976,1.26339
-13.6161,-8.16312,-22.1514
23.0079,10.453,34.0043
22.2026,10.453,33.1789
27.7026,10.453,38.8164
18.8474,10.453,29.7398
8.65815,10.453,19.2958
24.3335,10.453,35.363
8.79838,10.453,19.4395
1.06436,6.51736,7.57654
25.6042,10.453,36.6655
-4.39428,1.05872,-3.47721
16.4259,10.453,27.2578
6.52956,10.453,17.114
-21.6335,-16.1805,-38.3866
5.92212,10.453,16.4914
15.6956,10.453,26.5092
21.254,10.453,32.2066
-22.3942,-16.9412,-39.9272
1.06676,6.51976,7.58139
12.5965,10.453,23.3326
41.696,10.453,53.1596
4.29742,9.75042,14.1235
-11.2841,-5.8311,-17.4291
-3.5736,1.8794,-1.81534
26.4739,10.453,37.5569
17.4996,10.453,28.3583
10.7472,10.453,21.437
3.93233,9.38533,13.3842
-13.3582,-7.90521,-21.6292
-8.62439,-3.17139,-12.0432
2.93779,8.39079,11.3702
35.0924,10.453,46.3909
29.6048,10.453,40.7661
14.3736,10.453,25.1541
-15.9673,-10.5143,-26.9127
12.5369,10.453,23.2715
-20.5722,-15.1192,-36.2375
-4.9037,0.549304,-4.50878
-13.9505,-8.49745,-22.8285
-3.08504,2.36796,-0.825997
2.16461,7.61761,9.80454
-2.61361,2.83939,0.128638
27.9831,10.453,39.1039
2.21359,7.66659,9.90372
-18.1599,-12.7069,-31.3525
0.303633,5.75663,6.03606
3.79881,9.25181,13.1138
-9.09414,-3.64114,-12.9944
-9.63689,-4.18389,-14.0935
-26.1665,-20.7135,-47.5659
-8.01393,-2.56093,-10.807
40.0807,10.453,51.504
11.1268,10.453,21.8262
8.41139,10.453,19.0429
24.1192,10.453,35.1434
21.2628,10.453,32.2156
-2.33082,3.12218,0.70129
25.0497,10.453,36.0972
-9.68685,-4.23385,-14.1947
9.79677,10.453,20.4629
20.6972,10.453,31.6358
-1.19975,4.25325,2.99172
9.40868,10.453,20.0651
7.29218,10.453,17.8957
1.4639,6.9169,8.38559
-0.810344,4.64266,3.78025
-15.7512,-10.2982,-26.4749
4.13192,9.58492,13.7883
14.5739,10.453,25.3595
32.1254,10.453,43.3497
-8.77811,-3.32511,-12.3545
-20.5333,-15.0803,-36.1588
-1.25253,4.20047,2.88483
6.9545,10.453,17.5496
22.2456,10.453,33.223
-11.0658,-5.61279,-16.987
26.3873,10.453,37.4681
44.9519,10.453,56.4969
5.74879,10.453,16.3137
20.2098,10.453,31.1362
-4.68465,0.768354,-4.06521
24.9643,10.453,36.0097
11.9737,10.453,22.6943
3.31864,8.77164,12.1414
2.24347,7.69647,9.96422
14.5898,10.453,25.3757
-5.30476,0.148244,-5.32093
25.9159,10.453,36.985
39.1801,10.453,50.5808
-6.61322,-1.16022,-7.97057
-8.16489,-2.71189,-11.1127
7.26011,10.453,17.8628
4.50558,9.95858,14.545
19.0002,10.453,29.8964
27.6479,10.453,38.7603
17.0168,10.453,27.8634
-12.821,-7.36797,-20.5413
50.6274,10.453,62.3143
27.1729,10.453,38.2734
2.59036,8.04336,10.6667
-17.6442,-12.1912,-30.3084
24.8081,10.453,35.8495
5.8375,10.453,16.4046
-4.79253,0.660474,-4.28367
31.6116,10.453,42.8231
-24.4423,-18.9893,-44.0745
10.2599,10.453,20.9376
10.7682,10.453,21.4586
-10.7087,-5.25571,-16.2639
19.5479,10.453,30.4578
15.7539,10.453,26.5689
8.77683,10.453,19.4174
6.50418,10.453,17.088
7.28346,10.453,17.8867
21.8706,10.453,32.8385
12.7315,10.453,23.471
-1.57645,3.87655,2.22889
-3.52986,1.92314,-1.72676
31.424,10.453,42.6308
10.8412,10.453,21.5334
-1.77724,3.67576,1.82229
7.69379,10.453,18.3073
-11.1276,-5.67458,-17.1121
-5.66334,-0.210336,-6.04706
8.60635,10.453,19.2427
-0.181809,5.27119,5.05304
15.8874,10.453,26.7058
4.94238,10.3954,15.4295
2.55685,8.00985,10.5988
-17.0708,-11.6178,-29.1471
-3.92841,1.52459,-2.53384
-9.82244,-4.36944,-14.4692
22.5923,10.453,33.5783
-11.9109,-6.45791,-18.6984
14.6622,10.453,25.4499
-10.4213,-4.96834,-15.682
18.7238,10.453,29.6131
1.56936,7.02236,8.59914
1.37801,6.83101,8.21168
25.4623,10.453,36.5201
6.45662,10.453,17.0392
-2.7613,2.6917,-0.170429
-2.54259,2.91041,0.272458
16.6094,10.453,27.4458
-8.87041,-3.41741,-12.5414
-14.3645,-8.91149,-23.6669
43.0122,10.453,54.5087
19.4528,10.453,30.3603
-10.9118,-5.45876,-16.6751
18.0965,10.453,28.9701
-1.62123,3.83177,2.13821
-10.5156,-5.06261,-15.8729
2.05006,7.50306,9.57257
10.9099,10.453,21.6039
16.0919,10.453,26.9154
-6.57112,-1.11812,-7.88532
25.3899,10.453,36.4459
3.12168,8.57468,11.7426
-1.22596,4.22704,2.93862
13.178,10.453,23.9286
-13.6079,-8.15486,-22.1347
12.1129,10.453,22.837
-26.7498,-21.2968,-48.7472
18.2552,10.453,29.1328
-21.1927,-15.7397,-37.494
-22.9932,-17.5402,-41.1401
-6.42499,-0.971987,-7.5894
1.86833,7.32133,9.20457
14.6331,10.453,25.4201
16.083,10.453,26.9062
12.2426,10.453,22.9699
51.1281,10.453,62.8275
16.2334,10.453,27.0604
26.282,10.453,37.3602
13.372,10.453,24.1275
5.37033,10.453,15.9258
46.9392,10.453,58.5339
1.04134,6.49434,7.52992
5.51139,10.453,16.0704
5.49148,10.453,16.05
-12.1343,-6.68128,-19.1507
13.4151,10.453,24.1717
-7.25213,-1.79913,-9.26436
13.7538,10.453,24.5189
11.1319,10.453,21.8314
-6.42902,-0.976022,-7.59757
-1.50376,3.94924,2.37608
3.29878,8.75178,12.1012
65.28,10.453,77.3332
-1.86239,3.59061,1.64986
-25.419,-19.966,-46.0523
-5.4474,0.00559696,-5.60979
20.4835,10.453,31.4168
25.4803,10.453,36.5385
5.95592,10.453,16.526
-13.0193,-7.5663,-20.9429
49.771,10.453,61.4364
-0.501992,4.95101,4.40467
19.7432,10.453,30.658
52.4189,10.453,64.1506
7.48818,10.453,18.0966
25.0587,10.453,36.1064
0.723601,6.1766,6.88649
8.77173,10.453,19.4122
6.90685,10.453,17.5007
20.85,10.453,31.7925
19.0756,10.453,29.9737
12.9503,10.453,23.6953
34.208,10.453,45.4844
25.7609,10.453,36.8261
-9.22637,-3.77337,-13.2622
15.0931,10.453,25.8916
-13.6683,-8.21534,-22.2572
-24.5283,-19.0753,-44.2485
16.5464,10.453,27.3812
22.7718,10.453,33.7623
5.89674,10.453,16.4654
28.0575,10.453,39.1801
-0.129411,5.32359,5.15914
-0.609878,4.84312,4.1862
33.4559,10.453,44.7135
30.8953,10.453,42.0889
-7.27256,-1.81956,-9.30573
12.3306,10.453,23.0601
18.0543,10.453,28.9269
-6.69417,-1.24117,-8.13449
20.9047,10.453,31.8485
13.7239,10.453,24.4882
-11.5695,-6.11648,-18.007
-7.99141,-2.53841,-10.7614
-7.42825,-1.97525,-9.62101
-0.331162,5.12184,4.7506
11.6283,10.453,22.3402
2.60965,8.06265,10.7057
28.4469,10.453,39.5792
9.49016,10.453,20.1486
4.03758,9.49058,13.5973
-6.66535,-1.21235,-8.07613
20.5152,10.453,31.4493
0.0616294,5.51463,5.546
-1.46318,3.98982,2.45826
-5.71739,-0.264389,-6.15651
21.5913,10.453,32.5523
-9.34483,-3.89183,-13.5021
-2.03407,3.41893,1.30221
12.5463,10.453,23.2812
-13.313,-7.85996,-21.5375
-10.6421,-5.18905,-16.129
6.96578,10.453,17.5611
-34.2859,-28.8329,-64.0078
35.1995,10.453,46.5007
-9.72655,-4.27355,-14.2751
2.7717,8.2247,11.0339
5.33196,10.453,15.8865
9.6771,10.453,20.3402
-3.01409,2.43891,-0.682325
9.28622,10.453,19.9396
-7.35577,-1.90277,-9.47423
-10.8253,-5.37232,-16.5001
36.2401,10.453,47.5673
-1.56337,3.88963,2.25537
27.0728,10.453,38.1708
27.5916,10.453,38.7026
10.4426,10.453,21.1249
-0.0963221,5.35668,5.22615
2.23336,7.68636,9.94375
68.3282,10.453,80.4576
-7.14699,-1.69399,-9.05145
16.9455,10.453,27.7904
12.2494,10.453,22.9768
